Counter: 167 | X: 848 | Y: 725 | Z: 943
Counter: 168 | X: 847 | Y: 725 | Z: 944
Counter: 169 | X: 848 | Y: 725 | Z: 944
Counter: 170 | X: 847 | Y: 725 | Z: 944
Counter: 171 | X: 847 | Y: 725 | Z: 944
Counter: 172 | X: 846 | Y: 725 | Z: 945
Counter: 173 | X: 847 | Y: 725 | Z: 944
Counter: 174 | X: 846 | Y: 725 | Z: 944
Counter: 175 | X: 846 | Y: 725 | Z: 944
Counter: 176 | X: 847 | Y: 725 | Z: 945
Counter: 177 | X: 847 | Y: 725 | Z: 945
Counter: 178 | X: 846 | Y: 725 | Z: 945
Counter: 179 | X: 847 | Y: 725 | Z: 945
Counter: 180 | X: 847 | Y: 725 | Z: 944
Counter: 181 | X: 846 | Y: 724 | Z: 944
Counter: 182 | X: 845 | Y: 725 | Z: 944
