date: 290317, hour: 040749.000
Counter: 22 | X: 1.626304 | Y:1.568010 | Z: 1.280087
Counter: 23 | X: 1.626207 | Y:1.567058 | Z: 1.279395
Counter: 24 | X: 1.626311 | Y:1.567172 | Z: 1.280881
Counter: 25 | X: 1.626331 | Y:1.567606 | Z: 1.280055
Counter: 26 | X: 1.626552 | Y:1.567827 | Z: 1.280257
Counter: 27 | X: 1.626668 | Y:1.567621 | Z: 1.281589
Counter: 28 | X: 1.626571 | Y:1.567056 | Z: 1.281397
Counter: 29 | X: 1.625912 | Y:1.568122 | Z: 1.281773
Counter: 30 | X: 1.626981 | Y:1.566514 | Z: 1.281381
Counter: 31 | X: 1.627835 | Y:1.566681 | Z: 1.280768
Counter: 32 | X: 1.626907 | Y:1.567396 | Z: 1.280827
Counter: 33 | X: 1.626591 | Y:1.567593 | Z: 1.278965
Counter: 34 | X: 1.626980 | Y:1.567886 | Z: 1.279313
Counter: 35 | X: 1.626844 | Y:1.567854 | Z: 1.280396
Counter: 36 | X: 1.626006 | Y:1.568217 | Z: 1.281854
Counter: 37 | X: 1.626406 | Y:1.568010 | Z: 1.280653
Counter: 38 | X: 1.626657 | Y:1.567479 | Z: 1.279509
Counter: 39 | X: 1.627287 | Y:1.567870 | Z: 1.280703
Counter: 40 | X: 1.627417 | Y:1.567982 | Z: 1.280924
Counter: 41 | X: 1.628088 | Y:1.566795 | Z: 1.279199
Counter: 42 | X: 1.627948 | Y:1.566723 | Z: 1.280784
Counter: 43 | X: 1.626700 | Y:1.566884 | Z: 1.281819
Counter: 44 | X: 1.626828 | Y:1.567910 | Z: 1.281875
Counter: 45 | X: 1.626934 | Y:1.567103 | Z: 1.280289
Counter: 46 | X: 1.626560 | Y:1.567373 | Z: 1.280418
Counter: 47 | X: 1.626016 | Y:1.567634 | Z: 1.281949
Counter: 48 | X: 1.626752 | Y:1.568042 | Z: 1.282370
Counter: 49 | X: 1.626845 | Y:1.567393 | Z: 1.280676
Counter: 50 | X: 1.627364 | Y:1.567129 | Z: 1.280733
Counter: 51 | X: 1.627621 | Y:1.567438 | Z: 1.280935
Counter: 52 | X: 1.627561 | Y:1.567243 | Z: 1.280693
Counter: 53 | X: 1.628399 | Y:1.566693 | Z: 1.280477
Counter: 54 | X: 1.627810 | Y:1.567254 | Z: 1.281535
Counter: 55 | X: 1.626510 | Y:1.567728 | Z: 1.280282
Counter: 56 | X: 1.626607 | Y:1.567189 | Z: 1.280026
Counter: 57 | X: 1.627727 | Y:1.566835 | Z: 1.280368
Counter: 58 | X: 1.627929 | Y:1.566573 | Z: 1.281370
Counter: 59 | X: 1.627452 | Y:1.566394 | Z: 1.280078
Counter: 60 | X: 1.627820 | Y:1.566780 | Z: 1.280352
Counter: 61 | X: 1.627495 | Y:1.566463 | Z: 1.281711
Counter: 62 | X: 1.627364 | Y:1.566396 | Z: 1.282570
Counter: 63 | X: 1.627230 | Y:1.567011 | Z: 1.280803
Counter: 64 | X: 1.627957 | Y:1.566073 | Z: 1.280992
Counter: 65 | X: 1.627477 | Y:1.566035 | Z: 1.280750
Counter: 66 | X: 1.627311 | Y:1.567361 | Z: 1.279516
Counter: 67 | X: 1.627157 | Y:1.567350 | Z: 1.280638
Counter: 68 | X: 1.627250 | Y:1.566890 | Z: 1.280767
Counter: 69 | X: 1.627302 | Y:1.567227 | Z: 1.282549
Counter: 70 | X: 1.626695 | Y:1.567559 | Z: 1.282323
Counter: 71 | X: 1.626473 | Y:1.567857 | Z: 1.280564
Counter: 72 | X: 1.627778 | Y:1.567039 | Z: 1.279506
Counter: 73 | X: 1.627806 | Y:1.567059 | Z: 1.280993
Counter: 74 | X: 1.627579 | Y:1.567960 | Z: 1.279934
Counter: 75 | X: 1.628102 | Y:1.567738 | Z: 1.280008
Counter: 76 | X: 1.626698 | Y:1.568014 | Z: 1.280705
Counter: 77 | X: 1.628896 | Y:1.566101 | Z: 1.278771
Counter: 78 | X: 1.627700 | Y:1.567496 | Z: 1.279335
Counter: 79 | X: 1.627306 | Y:1.567659 | Z: 1.279127
Counter: 80 | X: 1.627729 | Y:1.567182 | Z: 1.280549
Counter: 81 | X: 1.627898 | Y:1.567063 | Z: 1.280116
Counter: 82 | X: 1.628227 | Y:1.567901 | Z: 1.280384
Counter: 83 | X: 1.627686 | Y:1.567598 | Z: 1.281165
Counter: 84 | X: 1.627223 | Y:1.567222 | Z: 1.281798
Counter: 85 | X: 1.626606 | Y:1.567723 | Z: 1.281240
Counter: 86 | X: 1.627799 | Y:1.566908 | Z: 1.280838
Counter: 87 | X: 1.628028 | Y:1.566614 | Z: 1.281649
Counter: 88 | X: 1.626673 | Y:1.567986 | Z: 1.280792
Counter: 89 | X: 1.626857 | Y:1.567109 | Z: 1.278836
Counter: 90 | X: 1.627199 | Y:1.566755 | Z: 1.280262
Counter: 91 | X: 1.627111 | Y:1.567025 | Z: 1.281248
Counter: 92 | X: 1.627588 | Y:1.567508 | Z: 1.280098
Counter: 93 | X: 1.626879 | Y:1.567670 | Z: 1.280265
Counter: 94 | X: 1.626998 | Y:1.566955 | Z: 1.280522
Counter: 95 | X: 1.627196 | Y:1.567670 | Z: 1.281011
Counter: 96 | X: 1.626169 | Y:1.566993 | Z: 1.281178
Counter: 97 | X: 1.626649 | Y:1.566390 | Z: 1.281243
Counter: 98 | X: 1.626346 | Y:1.566908 | Z: 1.281513
Counter: 99 | X: 1.626165 | Y:1.567358 | Z: 1.282191
Counter: 100 | X: 1.626873 | Y:1.566823 | Z: 1.281336
Counter: 101 | X: 1.626423 | Y:1.567016 | Z: 1.281310
Counter: 102 | X: 1.627302 | Y:1.567074 | Z: 1.282015
Counter: 103 | X: 1.627661 | Y:1.567244 | Z: 1.280905
Counter: 104 | X: 1.627459 | Y:1.566738 | Z: 1.280233
Counter: 105 | X: 1.628028 | Y:1.567049 | Z: 1.281315
Counter: 106 | X: 1.626265 | Y:1.567178 | Z: 1.280837
Counter: 107 | X: 1.627071 | Y:1.566868 | Z: 1.280444
Counter: 108 | X: 1.627513 | Y:1.567500 | Z: 1.278829
Counter: 109 | X: 1.627169 | Y:1.567099 | Z: 1.280100
Counter: 110 | X: 1.626508 | Y:1.567022 | Z: 1.281297
Counter: 111 | X: 1.627482 | Y:1.566978 | Z: 1.279524
Counter: 112 | X: 1.627197 | Y:1.567114 | Z: 1.280449
Counter: 113 | X: 1.627313 | Y:1.567180 | Z: 1.279484
Counter: 114 | X: 1.627780 | Y:1.567476 | Z: 1.279417
Counter: 115 | X: 1.627972 | Y:1.567144 | Z: 1.279745
Counter: 116 | X: 1.628088 | Y:1.567217 | Z: 1.280226
Counter: 117 | X: 1.626812 | Y:1.568005 | Z: 1.281395
Counter: 118 | X: 1.627561 | Y:1.568186 | Z: 1.280915
Counter: 119 | X: 1.626572 | Y:1.568236 | Z: 1.280913
Counter: 120 | X: 1.627092 | Y:1.567921 | Z: 1.281048
Counter: 121 | X: 1.626455 | Y:1.567606 | Z: 1.280260
Counter: 122 | X: 1.626650 | Y:1.567088 | Z: 1.279433
Counter: 123 | X: 1.625889 | Y:1.566483 | Z: 1.280267
Counter: 124 | X: 1.626404 | Y:1.567559 | Z: 1.280802
Counter: 125 | X: 1.626175 | Y:1.567796 | Z: 1.280460
Counter: 126 | X: 1.627621 | Y:1.567201 | Z: 1.280631
Counter: 127 | X: 1.626954 | Y:1.568011 | Z: 1.280784
Counter: 128 | X: 1.626610 | Y:1.567848 | Z: 1.281767
Counter: 129 | X: 1.626505 | Y:1.567640 | Z: 1.279970
Counter: 130 | X: 1.627391 | Y:1.567432 | Z: 1.279556
Counter: 131 | X: 1.627333 | Y:1.567735 | Z: 1.281168
Counter: 132 | X: 1.627421 | Y:1.567738 | Z: 1.280390
Counter: 133 | X: 1.627107 | Y:1.567177 | Z: 1.280901
Counter: 134 | X: 1.627718 | Y:1.567272 | Z: 1.281844
Counter: 135 | X: 1.627038 | Y:1.567298 | Z: 1.280633
Counter: 136 | X: 1.627426 | Y:1.567748 | Z: 1.280484
Counter: 137 | X: 1.628082 | Y:1.566941 | Z: 1.280569
Counter: 138 | X: 1.627899 | Y:1.566782 | Z: 1.281464
Counter: 139 | X: 1.627660 | Y:1.567567 | Z: 1.280912
Counter: 140 | X: 1.627034 | Y:1.568096 | Z: 1.280692
Counter: 141 | X: 1.627659 | Y:1.567455 | Z: 1.281547
Counter: 142 | X: 1.627135 | Y:1.566864 | Z: 1.281043
Counter: 143 | X: 1.627243 | Y:1.567327 | Z: 1.281040
Counter: 144 | X: 1.627209 | Y:1.567447 | Z: 1.281548
Counter: 145 | X: 1.627607 | Y:1.567160 | Z: 1.282594
Counter: 146 | X: 1.627253 | Y:1.568126 | Z: 1.280716
Counter: 147 | X: 1.628552 | Y:1.568022 | Z: 1.280671
Counter: 148 | X: 1.627291 | Y:1.567650 | Z: 1.279840
Counter: 149 | X: 1.627894 | Y:1.567393 | Z: 1.281515
Counter: 150 | X: 1.627051 | Y:1.567978 | Z: 1.281254
Counter: 151 | X: 1.627551 | Y:1.567720 | Z: 1.280024
Counter: 152 | X: 1.628024 | Y:1.567361 | Z: 1.280367
Counter: 153 | X: 1.627887 | Y:1.567452 | Z: 1.281017
Counter: 154 | X: 1.627268 | Y:1.567832 | Z: 1.281705
Counter: 155 | X: 1.628011 | Y:1.567782 | Z: 1.280159
Counter: 156 | X: 1.628052 | Y:1.566996 | Z: 1.280225
Counter: 157 | X: 1.626821 | Y:1.567929 | Z: 1.281585
Counter: 158 | X: 1.626887 | Y:1.568167 | Z: 1.280846
Counter: 159 | X: 1.626110 | Y:1.568599 | Z: 1.280909
Counter: 160 | X: 1.626397 | Y:1.568332 | Z: 1.282116
Counter: 161 | X: 1.626528 | Y:1.568203 | Z: 1.280833
Counter: 162 | X: 1.626698 | Y:1.569362 | Z: 1.280370
Counter: 163 | X: 1.626712 | Y:1.568449 | Z: 1.280779
Counter: 164 | X: 1.626112 | Y:1.567849 | Z: 1.281463
Counter: 165 | X: 1.627201 | Y:1.567980 | Z: 1.281470
Counter: 166 | X: 1.627082 | Y:1.567659 | Z: 1.280585
Counter: 167 | X: 1.626451 | Y:1.567137 | Z: 1.279669
Counter: 168 | X: 1.627188 | Y:1.567443 | Z: 1.279800
Counter: 169 | X: 1.626479 | Y:1.567693 | Z: 1.280252
Counter: 170 | X: 1.625862 | Y:1.567604 | Z: 1.279252
Counter: 171 | X: 1.627764 | Y:1.567562 | Z: 1.279796
Counter: 172 | X: 1.627717 | Y:1.567189 | Z: 1.280229
Counter: 173 | X: 1.627149 | Y:1.567945 | Z: 1.281255
Counter: 174 | X: 1.627687 | Y:1.567494 | Z: 1.279670
Counter: 175 | X: 1.627539 | Y:1.567212 | Z: 1.281290
Counter: 176 | X: 1.627508 | Y:1.567486 | Z: 1.280761
Counter: 177 | X: 1.627063 | Y:1.567932 | Z: 1.280957
Counter: 178 | X: 1.626432 | Y:1.566374 | Z: 1.280444
Counter: 179 | X: 1.627523 | Y:1.566813 | Z: 1.280037
Counter: 180 | X: 1.628068 | Y:1.567731 | Z: 1.279675
Counter: 181 | X: 1.628864 | Y:1.567403 | Z: 1.279864
Counter: 182 | X: 1.627842 | Y:1.566291 | Z: 1.279052
Counter: 183 | X: 1.628196 | Y:1.567652 | Z: 1.282739
Counter: 184 | X: 1.627675 | Y:1.568235 | Z: 1.280934
Counter: 185 | X: 1.625928 | Y:1.568039 | Z: 1.279744
Counter: 186 | X: 1.626551 | Y:1.566894 | Z: 1.280827
